userid,site_visits_7,retention_1,retention_7,version,day_of_week
1711136,15,FALSE,FALSE,unlimited,Saturday
2964858,18,TRUE,FALSE,unlimited,Thursday
3433251,19,FALSE,FALSE,unlimited,Thursday
8452399,23,TRUE,TRUE,unlimited,Sunday
2854126,27,TRUE,TRUE,unlimited,Friday
2209313,23,TRUE,FALSE,unlimited,Thursday
4386206,13,TRUE,FALSE,unlimited,Friday
2475965,17,FALSE,FALSE,unlimited,Monday
5360385,24,TRUE,FALSE,unlimited,Monday
9171008,17,TRUE,TRUE,unlimited,Sunday
3747153,25,FALSE,FALSE,unlimited,Thursday
5584591,21,FALSE,FALSE,unlimited,Monday
9308466,27,TRUE,FALSE,unlimited,Sunday
4912334,17,FALSE,FALSE,unlimited,Saturday
5402319,22,FALSE,FALSE,unlimited,Thursday
2165188,16,FALSE,TRUE,unlimited,Friday
7203436,18,TRUE,FALSE,unlimited,Sunday
4093021,24,FALSE,FALSE,unlimited,Tuesday
7491353,13,FALSE,FALSE,unlimited,Monday
8082559,25,NA,NA,unlimited,Monday
224388,25,FALSE,FALSE,unlimited,Monday
6491807,18,FALSE,FALSE,limited,Tuesday
2302174,17,TRUE,FALSE,unlimited,Tuesday
7810742,28,FALSE,FALSE,unlimited,Tuesday
5970580,16,TRUE,FALSE,unlimited,Sunday
6053011,15,FALSE,FALSE,unlimited,Monday
6807369,24,NA,NA,unlimited,Thursday
2807863,17,FALSE,FALSE,unlimited,Monday
1703365,20,FALSE,TRUE,unlimited,Wednesday
3318235,27,FALSE,FALSE,unlimited,Monday
5102107,12,TRUE,FALSE,unlimited,Wednesday
8273320,23,FALSE,FALSE,unlimited,Sunday
5937557,21,FALSE,FALSE,unlimited,Friday
6060402,25,FALSE,FALSE,unlimited,Tuesday
1467045,17,FALSE,FALSE,unlimited,Wednesday
7074997,19,FALSE,FALSE,unlimited,Saturday
4823328,16,TRUE,FALSE,unlimited,Monday
981047,26,TRUE,FALSE,unlimited,Sunday
3533785,16,TRUE,FALSE,unlimited,Wednesday
8801315,23,FALSE,FALSE,unlimited,Sunday
7983687,24,FALSE,FALSE,unlimited,Tuesday
1906184,19,FALSE,FALSE,unlimited,Monday
6133236,23,FALSE,FALSE,unlimited,Saturday
8884908,19,TRUE,FALSE,unlimited,Tuesday
7522391,25,FALSE,FALSE,unlimited,Friday
4816064,16,FALSE,FALSE,unlimited,Tuesday
3055424,24,TRUE,FALSE,unlimited,Friday
3719801,14,TRUE,FALSE,unlimited,Sunday
3697758,17,TRUE,FALSE,unlimited,Sunday
5234879,16,FALSE,FALSE,unlimited,Monday
7003815,14,FALSE,FALSE,unlimited,Tuesday
